food,Energy,Carbs,Protein,Fiber,Fat,Sugar,Fat (mono),Fat (poly),Fat (sat),Cholesterol,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Thiamin (B1),Riboflavin (B2),Niacin (B3),Pantothenic acid (B5),Pyridoxine (B6),Folate (B9),Cobalmins (B12),Vitamin A,Vitamin C,Vitamin D (D2 + D3),Vitamin E,Cystine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophan,Tyrosine,Valine,Lycopene,Lutein + zeaxanthin,alpha-Carotene,beta-Carotene,beta-Cryptoxanthin,Vitamin K
"Cabbage, chinese (pak-choi), raw",34.0,2.18,1.5,1.0,0.2,1.18,0.015,0.096,0.027,0.0,105.0,0.021,0.8,19.0,0.159,37.0,252.0,0.5,65.0,0.19,0.04,0.07,0.5,0.088,0.194,66.0,0.0,223.0,45.0,0.0,0.09,0.017,0.026,0.085,0.088,0.089,0.009,0.044,0.049,0.015,0.029,0.066,0.0,40.0,1.0,2681.0,0.0,
"Cabbage, raw",64.0,5.8,1.28,2.5,0.1,3.2,0.017,0.017,0.034,0.0,40.0,0.019,0.47,12.0,0.16,26.0,170.0,0.3,18.0,0.18,0.061,0.04,0.234,0.212,0.124,43.0,0.0,5.0,36.6,0.0,0.15,0.011,0.022,0.03,0.041,0.044,0.012,0.032,0.035,0.011,0.019,0.042,0.0,30.0,33.0,42.0,0.0,
"Beans, black turtle, mature seeds, raw",878.0,63.25,21.25,15.5,0.9,2.12,0.078,0.387,0.232,0.0,160.0,1.0,8.7,160.0,1.0,440.0,1500.0,3.2,9.0,2.2,0.9,0.193,1.955,0.899,0.286,444.0,0.0,0.0,0.0,0.0,0.21,0.231,0.592,0.938,1.697,1.459,0.32,1.149,0.894,0.252,0.598,1.112,0.0,0.0,0.0,0.0,0.0,
"Lentils, raw",912.5,63.35,24.63,10.7,1.06,2.03,0.193,0.526,0.154,0.0,35.0,0.754,6.51,47.0,1.393,281.0,677.0,0.1,6.0,3.27,0.873,0.211,2.605,2.14,0.54,479.0,0.0,2.0,4.5,0.0,0.49,0.322,0.693,1.065,1.786,1.72,0.21,1.215,0.882,0.221,0.658,1.223,0.0,0.0,0.0,23.0,0.0,
"Lentils, pink or red, raw",928.0,63.1,23.91,10.8,2.17,,0.5,1.137,0.379,0.0,48.0,1.303,7.39,59.0,1.716,294.0,668.0,0.0,7.0,3.6,0.51,0.106,1.495,0.348,0.403,204.0,0.0,3.0,1.7,0.0,0.0,0.327,0.702,1.078,1.809,1.74,0.212,1.23,0.895,0.223,0.667,1.238,,,0.0,35.0,0.0,
"Beans, snap, green, raw",81.0,6.97,1.83,2.7,0.22,3.26,0.01,0.113,0.05,0.0,37.0,0.069,1.03,25.0,0.216,38.0,211.0,0.6,6.0,0.24,0.082,0.104,0.734,0.225,0.141,33.0,0.0,35.0,12.2,0.0,0.41,0.018,0.034,0.066,0.112,0.088,0.022,0.067,0.079,0.019,0.042,0.09,0.0,640.0,69.0,379.0,0.0,
"Soybeans, green, raw",380.5,11.05,12.95,4.2,6.8,,1.284,3.2,0.786,0.0,197.0,0.128,3.55,65.0,0.547,194.0,620.0,1.5,15.0,0.99,0.435,0.175,1.65,0.147,0.065,165.0,0.0,9.0,29.0,0.0,0.0,0.118,0.348,0.57,0.926,0.775,0.157,0.586,0.516,0.157,0.464,0.576,,,,,,
"Beans, pinto, mature seeds, sprouted, raw",160.5,11.6,5.25,,0.9,,0.067,0.523,0.109,0.0,43.0,0.32,1.97,53.0,0.366,94.0,307.0,0.6,153.0,0.5,0.23,0.175,2.28,0.74,0.171,118.0,0.0,0.0,21.7,0.0,0.0,0.06,0.147,0.233,0.377,0.299,0.055,0.265,0.22,0.055,0.181,0.27,,,,,,
"Beans, adzuki, mature seeds, raw",853.0,62.9,19.87,12.7,0.53,,0.05,0.113,0.191,0.0,66.0,1.094,4.98,127.0,1.73,381.0,1254.0,3.1,5.0,5.04,0.455,0.22,2.63,1.471,0.351,622.0,0.0,1.0,0.0,0.0,0.0,0.184,0.524,0.791,1.668,1.497,0.21,1.052,0.674,0.191,0.591,1.023,,,,,,
"Beans, black, mature seeds, raw",883.0,62.36,21.6,15.5,1.42,2.12,0.123,0.61,0.366,0.0,123.0,0.841,5.02,171.0,1.06,352.0,1483.0,3.2,5.0,3.65,0.9,0.193,1.955,0.899,0.286,444.0,0.0,0.0,0.0,0.0,0.21,0.235,0.601,0.954,1.725,1.483,0.325,1.168,0.909,0.256,0.608,1.13,0.0,0.0,0.0,0.0,0.0,
"Beans, kidney, all types, mature seeds, raw",863.0,60.01,23.58,24.9,0.83,2.23,0.064,0.457,0.12,0.0,143.0,0.958,8.2,140.0,1.021,407.0,1406.0,3.2,24.0,2.79,0.529,0.219,2.06,0.78,0.397,394.0,0.0,0.0,4.5,0.0,0.22,0.256,0.656,1.041,1.882,1.618,0.355,1.275,0.992,0.279,0.664,1.233,0.0,0.0,0.0,0.0,0.0,
"Beans, pinto, mature seeds, raw",899.5,62.55,21.42,15.5,1.23,2.11,0.229,0.407,0.235,0.0,113.0,0.893,5.07,176.0,1.148,411.0,1393.0,27.9,12.0,2.28,0.713,0.212,1.174,0.785,0.474,525.0,0.0,0.0,6.3,0.0,0.21,0.187,0.556,0.871,1.558,1.356,0.259,1.095,0.81,0.237,0.427,0.998,0.0,0.0,0.0,0.0,0.0,
"Beans, small white, mature seeds, raw",871.0,62.25,21.11,24.9,1.18,,0.102,0.507,0.304,0.0,173.0,0.635,7.73,183.0,1.278,445.0,1542.0,12.8,12.0,2.81,0.743,0.207,1.342,0.729,0.439,386.0,0.0,0.0,0.0,0.0,0.0,0.23,0.588,0.932,1.685,1.449,0.317,1.141,0.888,0.25,0.594,1.104,,,,,,
