Shrt_Desc,Energy,Carbs,Fat,Protein,Fiber,Sugars,Monounsaturated fat,Polyunsaturated fat,Saturated fat,Cholesterol,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B4 (Panthothenic acid),Vitamin B6,Vitamin B9 (Folate),Vitamin B12,"Vitamin A, IU",Vitamin A,Vitamin C,Vitamin D (D2 + D3),"Vitamin D (D2 + D3), International Units",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Lycopene,Lutein + zeaxanthin,"Carotene, alpha","Carotene, beta",Retinol,"Cryptoxanthin, beta"
"Broadbeans (fava beans), mature seeds, raw",883.0,58.29,1.53,26.12,25.0,5.7,0.303,0.627,0.254,0.0,103.0,0.8240000000000001,6.7,192.0,1.626,421.0,1062.0,8.2,13.0,3.14,0.555,0.33299999999999996,2.832,0.976,0.366,423.0,0.0,53.0,3.0,1.4,0.0,0.0,0.05,9.0,0.0,0.0,0.0,32.0,0.0,0.0
"Peas, green, raw",210.0,14.45,0.4,5.42,5.7,5.67,0.035,0.187,0.071,0.0,25.0,0.17600000000000002,1.47,33.0,0.41,108.0,244.0,1.8,5.0,1.24,0.266,0.132,2.09,0.10400000000000001,0.16899999999999998,65.0,0.0,765.0,38.0,40.0,0.0,0.0,0.13,24.8,0.0,2477.0,21.0,449.0,0.0,0.0
"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",979.5,62.95,6.04,20.47,12.2,10.7,1.3769999999999998,2.7310000000000003,0.603,0.0,57.0,0.6559999999999999,4.31,79.0,21.305999999999997,252.0,718.0,0.0,24.0,2.76,0.47700000000000004,0.212,1.541,1.588,0.535,557.0,0.0,67.0,3.0,4.0,0.0,0.0,0.82,9.0,0.0,0.0,0.0,40.0,0.0,0.0
"Peas, green, split, mature seeds, raw",942.5,61.63,3.89,23.12,22.2,3.14,0.615,1.022,0.408,0.0,46.0,0.809,4.73,63.0,1.19,334.0,852.0,10.7,5.0,3.49,0.7190000000000001,0.244,3.608,0.9620000000000001,0.14,15.0,0.0,149.0,7.0,1.8,0.0,0.0,0.12,15.9,0.0,0.0,0.0,89.0,0.0,0.0
"Nuts, beechnuts, dried",1493.0,33.5,50.0,6.2,,,21.892,20.089000000000002,5.718999999999999,0.0,1.0,0.67,2.46,0.0,1.341,0.0,1017.0,,38.0,0.36,0.304,0.371,0.877,0.925,0.684,113.0,0.0,0.0,0.0,15.5,,,,,,,,,0.0,
"Nuts, brazilnuts, dried, unblanched",1708.0,11.74,67.1,14.32,7.5,2.33,23.879,24.399,16.134,0.0,160.0,1.743,2.43,376.0,1.2229999999999999,725.0,659.0,1917.0,3.0,4.06,0.617,0.035,0.295,0.184,0.10099999999999999,22.0,0.0,0.0,0.0,0.7,0.0,0.0,5.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nuts, butternuts, dried",1586.5,12.05,56.98,24.9,4.7,,10.425,42.74100000000001,1.306,0.0,53.0,0.45,4.02,237.0,6.56,446.0,421.0,17.2,1.0,3.13,0.38299999999999995,0.14800000000000002,1.045,0.633,0.56,66.0,0.0,124.0,6.0,3.2,0.0,0.0,,,,,,,0.0,
"Nuts, cashew nuts, raw",1433.5,30.19,43.85,18.22,3.3,5.91,23.796999999999997,7.845,7.7829999999999995,0.0,37.0,2.195,6.68,292.0,1.655,593.0,660.0,19.9,12.0,5.78,0.423,0.057999999999999996,1.062,0.8640000000000001,0.41700000000000004,25.0,0.0,0.0,0.0,0.5,0.0,0.0,0.9,34.1,0.0,22.0,0.0,0.0,0.0,0.0
"Nuts, hazelnuts or filberts",1628.5,16.7,60.75,14.95,9.7,4.34,45.652,7.92,4.4639999999999995,0.0,114.0,1.725,4.7,163.0,6.175,290.0,680.0,2.4,0.0,2.45,0.643,0.113,1.8,0.9179999999999999,0.563,113.0,0.0,20.0,1.0,6.3,0.0,0.0,15.03,14.2,0.0,92.0,3.0,11.0,0.0,0.0
"Nuts, hickorynuts, dried",1703.0,18.25,64.37,12.72,6.4,,32.611,21.886,7.037999999999999,0.0,61.0,0.738,2.12,173.0,4.61,336.0,436.0,8.1,1.0,4.31,0.867,0.131,0.907,1.746,0.192,40.0,0.0,131.0,7.0,2.0,0.0,0.0,,,,,,,0.0,
"Nuts, macadamia nuts, raw",1861.0,13.82,75.77,7.91,8.6,4.57,58.876999999999995,1.5019999999999998,12.061,0.0,85.0,0.7559999999999999,3.69,130.0,4.131,188.0,368.0,3.6,5.0,1.3,1.195,0.162,2.4730000000000003,0.758,0.275,11.0,0.0,0.0,0.0,1.2,0.0,0.0,0.54,,,,,,0.0,
"Nuts, pilinuts, dried",1863.5,3.98,79.55,10.8,,,37.229,7.605,31.184,0.0,145.0,0.958,3.53,302.0,2.313,575.0,507.0,,3.0,2.97,0.9129999999999999,0.09300000000000001,0.519,0.479,0.115,60.0,0.0,41.0,2.0,0.6,,,,,,,,,0.0,
"Nuts, pine nuts, dried",1744.5,13.08,68.37,13.69,3.7,3.59,18.764,34.071,4.899,0.0,16.0,1.324,5.53,251.0,8.802,575.0,597.0,0.7,2.0,6.45,0.364,0.22699999999999998,4.387,0.313,0.094,34.0,0.0,29.0,1.0,0.8,0.0,0.0,9.33,53.9,0.0,9.0,0.0,17.0,0.0,0.0
